"","Respondent.ID","Start_Date","Age","Gender","Continent","Highest_Education","SES","Social_media_used_most","Hours_use","Seen_vaccines_post","SM_influence","Trust_most","MMR_autism","Disease_rare","Parents_decide","Neurological_problems","Handle_multiple","CDC_not_trustworthy","Follow_recommendation","Vaccine_risk","Measles_efficacy","Avoid_death","Data_publicity","Protect_immunocompromised"
"1222",10165271824,"8/16/18 17:18","25-34","Female","North America, United States","Associate_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","True","Unsure","False","False","True","True","True","True","True","True"
"1223",10165268774,"8/16/18 17:16","35-44","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","Unsure","True","True","True","True"
"1224",10165268206,"8/16/18 17:15","25-34","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","Unsure","False","False","False","Unsure","Unsure","True","True","Unsure","True"
"1225",10165266417,"8/16/18 17:14","35-44","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","No","No_influence","Doctors","False","False","Unsure","True","False","Unsure","True","True","True","True","Unsure","True"
"1226",10165263882,"8/16/18 17:13","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1227",10165262088,"8/16/18 17:10","65+","Male","Australia/ Oceania","High_school","Middle Class","Facebook","5-6","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1228",10165260054,"8/16/18 17:09","35-44","Female","North America, Other","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","Unsure","True","True"
"1229",10165257573,"8/16/18 17:08","25-34","Other / Prefer not to answer","Australia/ Oceania","Associate_Degree","Middle Class","Facebook","0-2","Yes","No_influence","The government","False","False","False","False","False","False","True","True","True","True","True","True"
"1230",10165256894,"8/16/18 17:08","45-54","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","Unsure","False","Unsure","Unsure","True","True","True","True","True","True"
"1231",10165255405,"8/16/18 17:07","18-24","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1232",10165253117,"8/16/18 17:04","35-44","Female","North America, United States","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1233",10165250756,"8/16/18 17:04","35-44","Female","North America, United States","Master_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","Unsure","Unsure","Unsure","True"
"1234",10165250637,"8/16/18 17:04","35-44","Male","North America, United States","High_school","Lower Class","Facebook","7-8","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1235",10165248234,"8/16/18 17:02","18-24","Female","North America, United States","High_school","Lower Class","Twitter","9+","Yes","Influenced_better","Doctors","False","False","False","False","Unsure","True","True","Unsure","True","True","Unsure","True"
"1236",10165246139,"8/16/18 17:01","35-44","Male","North America, United States","Professional_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1237",10165243924,"8/16/18 16:59","35-44","Female","Australia/ Oceania","Master_Degree","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1238",10165243635,"8/16/18 16:59","35-44","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","7-8","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1239",10165235560,"8/16/18 16:53","35-44","Female","Australia/ Oceania","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1240",10165232329,"8/16/18 16:51","35-44","Female","North America, United States","Professional_Degree","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1241",10165232033,"8/16/18 16:51","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","True","False","False","Unsure","True","True","True","True","Unsure","True"
"1242",10165231812,"8/16/18 16:51","25-34","Male","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","Unsure","Unsure","Unsure","True","True","True","True","True"
"1243",10165229008,"8/16/18 16:43","35-44","Male","North America, United States","Bachelor_Degree","Upper Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1244",10165228440,"8/16/18 16:48","45-54","Female","North America, United States","Bachelor_Degree","Upper Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1245",10165223554,"8/16/18 16:45","65+","Female","North America, United States","Master_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
